tempo1c,cargar1,tempo1d,descarga1,,tempo2c,cargar2,tempo2d,descarga2,,tempo3c,cargar3,tempo3d,descarga3,,tempoc,cargar,tempod,descarga
"0,00","0,00","0,00","7,96",,"0,00","0,00","0,00","7,96",,"0,00","0,00","0,00","7,96",,"0,00","0,00","0,00","7,96"
"0,51","0,34","0,63","7,98",,"0,47","0,11","0,63","7,98",,"0,01","0,01","0,99","7,93",,"0,33","0,15","0,75","7,96"
"1,03","0,73","0,67","7,93",,"0,60","0,52","0,67","7,93",,"0,47","0,39","1,55","7,53",,"0,70","0,55","0,96","7,80"
"1,29","1,10","1,19","7,54",,"1,19","0,90","1,02","7,90",,"1,06","0,78","1,97","7,16",,"1,18","0,93","1,39","7,53"
"1,81","1,45","1,58","7,16",,"1,71","1,26","1,58","7,51",,"1,58","1,15","2,56","6,80",,"1,70","1,29","1,91","7,16"
"2,39","1,79","2,11","6,80",,"2,17","1,60","2,04","7,13",,"2,03","1,50","3,01","6,47",,"2,20","1,63","2,39","6,80"
"2,92","2,10","2,63","6,46",,"2,75","1,92","2,56","6,78",,"2,56","1,83","3,47","6,14",,"2,74","1,95","2,89","6,46"
"3,38","2,39","3,00","6,15",,"3,15","2,22","3,09","6,44",,"3,03","2,14","4,95","5,84",,"3,19","2,25","3,68","6,14"
"3,83","2,68","3,54","5,85",,"3,67","2,51","3,60","6,12",,"3,47","2,43","4,51","5,55",,"3,66","2,54","3,88","5,84"
"4,35","2,94","3,60","5,84",,"4,19","2,78","4,06","5,82",,"4,06","2,71","4,99","5,27",,"4,20","2,81","4,22","5,64"
"4,87","3,19","4,06","5,55",,"4,59","3,04","4,52","5,53",,"4,45","2,97","5,49","5,01",,"4,64","3,07","4,69","5,36"
"5,39","3,43","4,45","5,88",,"5,23","3,29","4,97","5,26",,"5,03","3,22","5,95","4,77",,"5,22","3,31","5,12","5,30"
"5,85","3,66","4,58","5,28",,"5,63","3,52","5,49","5,00",,"5,42","3,46","6,40","4,53",,"5,63","3,55","5,49","4,94"
"6,30","3,87","5,03","5,02",,"6,15","3,74","5,95","4,75",,"5,88","3,68","6,99","4,31",,"6,11","3,76","5,99","4,69"
"6,82","4,07","6,65","4,77",,"6,67","3,95","6,47","4,52",,"6,47","3,90","7,38","4,10",,"6,65","3,97","6,83","4,46"
"7,25","4,26","6,00","4,54",,"7,13","4,15","6,93","4,29",,"7,05","4,10","7,90","3,90",,"7,14","4,17","6,94","4,24"
"7,87","4,45","6,53","4,32",,"7,55","4,34","7,38","4,08",,"7,51","4,29","8,42","3,70",,"7,64","4,36","7,44","4,03"
"8,32","4,62","6,99","4,10",,"8,18","4,51","7,90","3,88",,"7,97","4,47","8,94","3,52",,"8,16","4,53","7,94","3,83"
"8,84","4,78","7,44","3,90",,"8,63","4,68","8,49","3,69",,"8,42","4,64","9,33","3,35",,"8,63","4,70","8,42","3,65"
"9,30","4,94","7,97","3,71",,"9,03","4,84","8,95","3,51",,"8,88","4,81","9,92","3,18",,"9,07","4,86","8,95","3,47"
"9,88","5,08","8,42","3,53",,"9,61","5,00","9,34","3,34",,"9,47","4,96","10,37","3,03",,"9,65","5,01","9,38","3,30"
"10,28","5,22","9,01","3,36",,"10,07","5,14","9,80","3,17",,"9,99","5,11","10,83","2,88",,"10,11","5,16","9,88","3,14"
"10,80","5,35","9,40","3,79",,"10,59","5,28","10,39","3,02",,"10,45","5,25","11,35","2,74",,"10,61","5,29","10,38","3,18"
"11,25","5,48","9,92","3,04",,"11,11","5,41","10,84","2,87",,"10,90","5,38","11,61","2,61",,"11,09","5,42","10,79","2,84"
"11,77","5,60","10,38","2,89",,"11,64","5,53","11,30","2,73",,"11,49","5,57","12,33","2,48",,"11,63","5,57","11,34","2,70"
"12,23","5,71","10,90","2,75",,"12,09","5,65","11,82","2,60",,"11,95","5,63","12,78","2,36",,"12,09","5,66","11,83","2,57"
"13,75","5,81","11,35","2,61",,"12,55","5,76","12,28","2,47",,"12,40","5,74","13,30","2,24",,"12,90","5,77","12,31","2,44"
"13,21","5,91","11,87","2,49",,"13,07","5,87","12,80","2,35",,"12,92","5,85","13,76","2,13",,"13,07","5,88","12,81","2,32"
"13,80","6,01","12,33","2,37",,"13,56","5,97","13,22","2,23",,"13,44","5,95","14,28","2,03",,"13,60","5,98","13,28","2,21"
"14,25","6,09","12,91","2,25",,"14,05","6,07","13,78","2,13",,"13,97","6,05","14,83","1,93",,"14,09","6,07","13,84","2,10"
"14,78","6,18","13,43","2,14",,"14,52","6,16","14,24","2,02",,"14,42","6,14","15,26","1,84",,"14,57","6,16","14,31","2,00"
"15,23","6,26","13,83","2,04",,"15,03","6,25","14,69","1,92",,"14,88","6,23","15,78","1,75",,"15,05","6,25","14,77","1,90"
"15,69","6,33","14,43","1,94",,"15,49","6,33","15,28","1,83",,"15,20","6,31","16,23","1,66",,"15,46","6,32","15,31","1,81"
"16,21","6,41","14,90","1,84",,"16,01","6,41","15,74","1,74",,"15,86","6,34","16,69","1,58",,"16,03","6,39","15,78","1,72"
"16,66","6,47","15,26","1,76",,"16,42","6,48","16,19","1,66",,"16,38","6,41","17,23","1,51",,"16,49","6,45","16,23","1,64"
"17,12","6,54","15,85","1,67",,"17,05","6,55","16,72","1,58",,"16,99","6,54","17,73","1,43",,"17,05","6,54","16,77","1,56"
"17,79","6,60","16,37","1,59",,"17,53","6,62","17,17","1,50",,"17,36","6,61","18,19","1,36",,"17,56","6,61","17,24","1,48"
"18,22","6,65","16,89","1,51",,"18,08","6,68","17,76","1,43",,"17,88","6,67","18,71","1,30",,"18,06","6,67","17,79","1,41"
"18,68","6,77","17,28","1,44",,"18,49","6,74","18,25","1,36",,"18,34","6,73","19,17","1,24",,"18,50","6,75","18,23","1,35"
"19,20","6,76","17,82","1,37",,"18,94","6,80","18,53","1,29",,"18,88","6,79","19,69","1,17",,"19,01","6,78","18,68","1,28"
"19,59","6,81","18,32","1,30",,"19,46","6,86","19,19","1,23",,"19,31","6,85","20,08","1,12",,"19,45","6,84","19,20","1,22"
"20,12","6,85","18,78","1,24",,"19,92","6,91","19,58","1,17",,"19,94","6,90","20,50","1,06",,"19,99","6,89","19,62","1,16"
"20,58","6,90","19,23","1,18",,"20,37","6,96","20,17","1,12",,"20,29","6,95","21,19","1,01",,"20,41","6,94","20,20","1,10"
"21,10","6,94","19,76","1,13",,"20,96","7,01","20,63","1,06",,"20,58","7,00","21,68","0,96",,"20,88","6,98","20,69","1,05"
"21,62","6,98","20,28","1,07",,"21,42","7,05","21,15","1,01",,"21,27","7,04","22,10","0,92",,"21,44","7,02","21,18","1,00"
"22,08","7,02","20,67","1,02",,"21,94","7,10","21,60","0,96",,"21,73","7,09","22,56","0,87",,"21,92","7,07","21,61","0,95"
"22,53","7,06","21,19","0,97",,"22,33","7,14","22,05","0,92",,"22,32","7,13","23,02","0,83",,"22,39","7,11","22,09","0,91"
"23,05","7,09","21,65","0,93",,"22,98","7,18","22,58","0,87",,"22,77","7,17","23,54","0,79",,"22,93","7,15","22,59","0,86"
"23,51","7,12","22,01","0,88",,"23,31","7,21","23,11","0,83",,"23,23","7,21","24,06","0,76",,"23,35","7,18","23,06","0,82"
"23,97","7,16","22,69","0,84",,"23,89","7,25","23,56","0,79",,"23,69","7,24","24,51","0,72",,"23,85","7,22","23,59","0,78"
"24,48","7,19","23,15","0,80",,"24,35","7,28","24,15","0,75",,"24,08","7,28","24,97","0,68",,"24,30","7,25","24,09","0,74"
"25,01","7,21","23,67","0,76",,"24,67","7,31","24,60","0,72",,"24,79","7,31","25,56","0,65",,"24,82","7,28","24,61","0,71"
"25,53","7,24","24,19","0,73",,"25,27","7,34","25,06","0,68",,"25,12","7,34","26,02","0,62",,"25,31","7,31","25,09","0,68"
"25,98","7,27","24,65","0,69",,"25,85","7,37","25,52","0,65",,"25,75","7,37","26,47","0,59",,"25,86","7,34","25,55","0,64"
"26,50","7,29","25,10","0,66",,"26,31","7,40","26,04","0,62",,"26,03","7,40","26,99","0,56",,"26,28","7,36","26,04","0,61"
"26,96","7,32","25,69","0,63",,"26,83","7,43","26,50","0,59",,"26,68","7,42","27,52","0,54",,"26,82","7,39","26,57","0,59"
"27,48","7,34","26,15","0,60",,"27,28","7,45","26,95","0,56",,"27,14","7,45","28,04","0,51",,"27,30","7,41","27,05","0,56"
"27,87","7,36","26,67","0,57",,"27,74","7,48","27,48","0,54",,"27,67","7,47","28,50","0,49",,"27,76","7,44","27,55","0,53"
"28,36","7,38","27,12","0,54",,"28,26","7,50","28,00","0,51",,"28,19","7,50","28,95","0,46",,"28,27","7,46","28,02","0,50"
"28,91","7,40","27,58","0,52",,"28,76","7,52","28,46","0,49",,"28,61","7,51","29,47","0,44",,"28,76","7,48","28,50","0,48"
"29,43","7,42","28,10","0,49",,"29,24","7,54","28,91","0,46",,"29,16","7,54","29,93","0,42",,"29,28","7,50","28,98","0,46"
"29,89","7,44","28,63","0,47",,"29,76","7,56","29,50","0,44",,"29,56","7,56","30,39","0,40",,"29,74","7,52","29,51","0,44"
"30,41","7,46","29,80","0,45",,"30,22","7,58","29,96","0,42",,"30,08","7,58","30,91","0,38",,"30,24","7,54","30,22","0,42"
"30,93","7,48","29,64","0,43",,"30,62","7,60","30,41","0,40",,"30,60","7,60","31,43","0,36",,"30,72","7,56","30,49","0,40"
"31,39","7,49","30,06","0,41",,"31,20","7,61","30,87","0,38",,"31,09","7,61","31,95","0,35",,"31,23","7,57","30,96","0,38"
"31,91","7,51","30,85","0,39",,"31,72","7,63","31,39","0,36",,"31,51","7,63","32,40","0,33",,"31,71","7,59","31,55","0,36"
"32,37","7,52","30,97","0,39",,"32,16","7,65","31,85","0,35",,"32,03","7,64","32,86","0,32",,"32,19","7,60","31,89","0,35"
"32,89","7,54","31,59","0,35",,"32,83","7,66","32,37","0,33",,"32,52","7,66","33,33","0,30",,"32,75","7,62","32,43","0,33"
"33,35","7,55","32,08","0,34",,"33,22","7,67","32,83","0,32",,"33,01","7,67","33,93","0,29",,"33,19","7,63","32,95","0,32"
"33,80","7,56","32,32","0,32",,"33,69","7,69","33,35","0,30",,"33,43","7,69","34,46","0,27",,"33,64","7,65","33,38","0,30"
"34,39","7,57","32,92","0,31",,"34,13","7,70","33,87","0,29",,"34,05","7,70","34,85","0,26",,"34,19","7,66","33,88","0,29"
"34,85","7,59","33,51","0,29",,"34,66","7,71","34,32","0,27",,"34,57","7,71","35,33","0,25",,"34,69","7,67","34,39","0,27"
"35,30","7,60","33,96","0,28",,"35,18","7,72","34,84","0,26",,"35,09","7,73","35,79","0,24",,"35,19","7,68","34,86","0,26"
"35,83","7,61","34,88","0,26",,"35,70","7,73","35,37","0,25",,"35,48","7,74","36,31","0,23",,"35,67","7,69","35,52","0,25"
"36,28","7,62","35,40","0,24",,"36,09","7,75","35,76","0,24",,"35,94","7,75","36,83","0,22",,"36,10","7,71","36,00","0,23"
"36,81","7,63","35,92","0,23",,"36,62","7,76","36,35","0,23",,"36,46","7,76","37,29","0,21",,"36,63","7,72","36,52","0,22"
"37,33","7,64","36,84","0,21",,"37,53","7,77","36,80","0,22",,"36,98","7,77","37,81","0,20",,"37,28","7,73","37,15","0,21"
"37,85","7,65","37,35","0,20",,"38,05","7,78","37,26","0,21",,"37,90","7,78","38,25","0,19",,"37,93","7,74","37,62","0,20"
"38,76","7,67","37,81","0,19",,"38,64","7,79","37,72","0,20",,"38,49","7,79","38,72","0,18",,"38,63","7,75","38,08","0,19"
"39,22","7,68","38,28","0,18",,"39,16","7,80","38,30","0,19",,"38,88","7,80","39,24","0,17",,"39,09","7,76","38,61","0,18"
"39,74","7,69","39,37","0,17",,"40,07","7,81","38,76","0,18",,"39,40","7,81","39,75","0,16",,"39,74","7,77","39,29","0,17"
"40,79","7,70","39,77","0,16",,"40,63","7,82","39,22","0,17",,"40,44","7,82","40,74","0,15",,"40,62","7,78","39,91","0,16"
"41,31","7,71","40,25","0,15",,"40,99","7,83","39,63","0,16",,"40,89","7,83","41,20","0,14",,"41,06","7,79","40,36","0,15"
"41,76","7,72","41,23","0,14",,"42,03","7,84","40,72","0,15",,"41,93","7,84","42,18","0,13",,"41,91","7,80","41,38","0,14"
"42,68","7,73","42,31","0,13",,"43,00","7,85","41,24","0,14",,"42,85","7,85","43,15","0,12",,"42,84","7,81","42,23","0,13"
"43,20","7,74","42,83","0,12",,"43,99","7,86","42,25","0,13",,"43,30","7,86","43,57","0,11",,"43,50","7,82","42,88","0,12"
"44,18","7,75","43,85","0,11",,"44,96","7,87","44,10","0,12",,"44,80","7,87","44,65","0,10",,"44,65","7,83","44,20","0,11"
"45,09","7,76","44,79","0,10",,"45,95","7,88","44,69","0,11",,"45,78","7,88","46,07","0,09",,"45,61","7,84","45,18","0,10"
"45,74","7,77","46,22","0,09",,"47,51","7,89","45,60","0,10",,"46,89","7,89","47,05","0,08",,"46,71","7,85","46,29","0,09"
"46,65","7,78","47,26","0,08",,"49,95","7,90","46,12","0,09",,"48,25","7,90","48,62","0,07",,"48,28","7,86","47,33","0,08"
"47,57","7,79","48,76","0,07",,"50,39","7,91","47,10","0,08",,"49,69","7,91","50,05","0,06",,"49,22","7,87","48,64","0,07"
"49,07","7,80","50,12","0,06",,"52,79","7,92","48,53","0,07",,"51,56","7,92","52,07","0,05",,"51,14","7,88","50,24","0,06"
"50,11","7,81","52,15","0,05",,"55,27","7,93","50,81","0,06",,"53,15","7,93","54,45","0,04",,"52,84","7,89","52,47","0,05"
"51,55","7,82","54,58","0,04",,"58,21","7,94","52,05","0,05",,"56,67","7,94","57,93","0,03",,"55,48","7,90","54,85","0,04"
"52,92","7,83","56,12","0,03",,"62,64","7,95","54,54","0,04",,"60,52","7,95","61,90","0,02",,"58,69","7,91","57,52","0,03"
"54,48","7,84","58,23","0,02",,"70,07","7,96","57,99","0,03",,"66,91","7,96","68,68","0,01",,"63,82","7,92","61,63","0,02"
,,,,,,,"62,33","0,02",,,,,,,,,"68,74","0,01"
,,,,,,,"68,74","0,01",,,,,,,,,"88,43",0
,,,,,,,"88,43",0,,,,,,,,,,